startup name,Deep tech,Digital tech,Life sciences,Digital health,Evaluating Potential Markets/Choosing Target Market,Developing Pricing Model,Customer Decision Journey,Pilot Project Design and Implementation,Investment Pitch Deck,Hiring Plan,Marketing Plan & Execution,Business Development & Sales,Scaling Operations,BreakBio Corp,CartaBio,Wright Electric,DataHive,42Genetics,SOAP Health,Cyanotype Bio,Free Form Fibers,MabSwitch,Hoox,Elm AI,Godot,ZayaAI,Telness Tech,Smabbler,CAREier,PathKeeper Surgical,GrayMatters Health,SyntheX,Helix Earth,AdviNOW Medical,Sensible Biotechnologies,Modulate Bio,Torpedo Therapeutics,IDP Pharma,Werewool,Rasayana Therapeutics,Cellinfinity Bio,dataspan.ai,Libera Bio,RealNose.ai,Simulacra SDS,Evvy,Atmo Biosciences,Avol,LATERAL.systems,Coastar Therapeutics,Rejuvenation Technologies,Ceramedix,MiCare Path,Picture Health,BlueWhale Bio,Siftwell Analytics,DoriNano,Script Biosciences,Relyion Energy,Olfera,RISE Robotics,Lore Machine,Fermbox Bio,SEED Therapeutics,Revolv3,Nest Genomics,Frost Methane,Sama Therapeutics,CTGT,REEV,Serentrix,NavaFlex,ByteGenie,Koi Biotherapeutics,CLIKA,Cloverleaf Bio,Sunchem,Robochef,OLLANG,Luxsonic,Tessel Bio,SpruceID,Plantibodies,PLATMA,ExoDiscovery,Suyana Climate Insurance,Stimvia,Apricity Health,iLoF,ATOMICS,Banquet Health,nSight Surgical,Banyan Infrastructure,Vitro3D,Solvuu,The Rubic,Agilis Commerce,Trust Science,syd.life,Enigma Aerospace,Page Technologies,Safe YOU | Impact Innovations Institute,Verne,geCKo Materials,Schnell LiFi Germany,LUCID,Merlin Biotech,Propitious Technologies,Youverify,WORMSENSING,VoicePlug,Fenix Commerce
BreakBio Corp,0,0,1,0,0.29,0.43,0.57,0.57,1.0,0.43,0.29,1.0,0.71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CartaBio,0,0,1,0,0.14,0.29,0.0,0.0,1.0,0.0,1.0,1.0,0.43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wright Electric,1,0,0,0,1.0,0.71,0.71,0.71,1.0,0.71,1.0,0.86,0.71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DataHive,0,1,0,0,0.71,0.86,1.0,1.0,1.0,0.71,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42Genetics,0,0,0,1,0.86,0.71,0.0,0.71,0.86,0.0,0.57,0.57,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOAP Health,0,0,0,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyanotype Bio,1,0,0,0,1.0,1.0,0.43,0.0,0.57,0.0,1.0,1.0,0.14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Free Form Fibers,1,0,0,0,0.43,0.57,0.71,0.71,0.71,0.86,0.86,0.43,0.86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MabSwitch,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.57,0.57,1.0,0.57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hoox,0,1,0,0,0.86,1.0,0.29,0.57,0.0,0.0,1.0,1.0,0.29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
