Startup Name,Rank 1,Cosine Similarity 1,Rank 2,Cosine Similarity 2,Rank 3,Cosine Similarity 3,Rank 4,Cosine Similarity 4,Rank 5,Cosine Similarity 5,Rank 6,Cosine Similarity 6,Rank 7,Cosine Similarity 7,Rank 8,Cosine Similarity 8,Rank 9,Cosine Similarity 9,Rank 10,Cosine Similarity 10
Beta Tech,Isaac Rivera,0.9606671410703103,Liam Turner,0.9075950713612995,Oscar Green,0.873333764609373,Daniel Kim,0.8592468124734374,Ethan Mitchell,0.8442226391223938,Lila Harper,0.8442226391223938,Alyssa Nguyen,0.7860003881484358,Catherine Kim,0.7860003881484358,Benjamin Parker,0.7550956836887783,Leo Evans,0.7550956836887783
Progress Inte,Eliana Scott,0.9119510273358942,Bella Martinez,0.8583068492573122,Eva Flores,0.8569786870301859,Avery Wong,0.839664201465694,Daniel Kim,0.8314847602180211,Adam Lee,0.8314847602180211,Mia Allen,0.8314847602180211,Sofia Davis,0.8314847602180211,Erica Li,0.8314847602180211,Emily Chen,0.8314847602180211
Insta Inte,Eliana Scott,0.9169118129500093,Bella Martinez,0.8899438184514796,Avery Wong,0.8743828992755146,Benjamin Parker,0.8090398349558906,Leo Evans,0.8090398349558906,Olivia Phillips,0.8007572173962101,Eva Flores,0.7877855422677296,Mia Allen,0.7820718404573609,Daniel Kim,0.7551038459588312,Sofia Davis,0.7551038459588312
Lead Inte,Eliana Scott,0.9387731163751851,Avery Wong,0.9296282230513041,Bella Martinez,0.9119510273358942,Jane Smith,0.8696522086608975,Mia Allen,0.8583068492573122,Stella Nguyen,0.839664201465694,Audrey Carter,0.8096761942704908,Benjamin Parker,0.7510184931001481,Leo Evans,0.7510184931001481,Eva Flores,0.7345531603115878
Internetado,Isaac Rivera,0.9329903614147113,Liam Turner,0.9035624609139907,Oscar Green,0.902893898143269,Daniel Kim,0.8344919481901565,Ethan Mitchell,0.8126045083289422,Lila Harper,0.8126045083289422,Catherine Kim,0.7825080450574998,Nicholas Hill,0.7537346628814318,Mason Perez,0.7524115817860575,Alyssa Nguyen,0.7524115817860575
Techarc,Isaac Rivera,0.8821085542719541,Oscar Green,0.826976769629957,Alyssa Nguyen,0.826976769629957,William Park,0.7994108773089585,Daniel Kim,0.7889818763544608,Milo Baker,0.7718449849879598,Lucas Tan,0.7643261927183839,Ryan Lee,0.739670509082307,Brian Kim,0.739670509082307,Liam Turner,0.732098066191115
Internetadora,Eva Flores,0.8455943246644706,Eliana Scott,0.8366600265340755,Olivia Phillips,0.8100925873009827,Mia Allen,0.8067793113007158,Natalie Chen,0.8017837257372732,Lena Park,0.8017837257372732,Grace Kim,0.8017837257372732,Bella Martinez,0.7768985960673559,Erica Li,0.7768985960673559,Adam Lee,0.7768985960673559
Cohort Inte,Eliana Scott,0.9241848554584867,Avery Wong,0.845402792964952,Eva Flores,0.8436614877321076,Daniel Kim,0.8401680504168061,Erica Li,0.8401680504168061,Sofia Davis,0.8401680504168061,Bella Martinez,0.8401680504168061,Adam Lee,0.8401680504168061,Emily Chen,0.8401680504168061,Mia Allen,0.7841568470556856
Geek Tech,Isaac Rivera,0.9341285531692914,Oscar Green,0.8775147014620616,Liam Turner,0.8498365855987975,Daniel Kim,0.8355099778440248,Alyssa Nguyen,0.792593923901217,Lila Harper,0.792593923901217,Ethan Mitchell,0.792593923901217,Mason Perez,0.7359800721939873,Catherine Kim,0.7359800721939873,Milo Baker,0.7359800721939871
Internetoont,Oscar Green,0.9145661412745386,Isaac Rivera,0.8535950651895694,Milo Baker,0.8535950651895693,Lila Harper,0.8535950651895693,Ethan Mitchell,0.8535950651895693,Liam Turner,0.8448400125705157,Alyssa Nguyen,0.7926239891046002,Daniel Kim,0.7634786364088967,Benjamin Parker,0.7634786364088966,Leo Evans,0.7634786364088966
Simplify Inte,Eliana Scott,0.9472830267366573,Avery Wong,0.9233132592090664,Bella Martinez,0.9229937183587944,Mia Allen,0.8258364848473422,Jane Smith,0.8146881698903526,Eva Flores,0.7982281262852872,Stella Nguyen,0.7875318975606743,Sofia Davis,0.7772578680916162,Emily Chen,0.7772578680916162,Daniel Kim,0.7772578680916162
