Startup Name,Matched Student,Cosine Similarity
Hiiiooo!,John Doe,0.6672006408545297
Internetlia,Jane Smith,0.9494253265550828
Thinierd,David Lee,0.7422696190252055
Progress Inte,Emily Chen,0.8314847602180211
Giga Inte,Michael Kim,0.8119119216534528
Deliver Inte,Ashley Wong,0.5878803211399749
Rubicon Tech,William Park,0.8478501284163322
Elevate Inte,Grace Kim,0.7879670163016614
Generate Inte,Adam Lee,0.797761769615217
Infinity Tech,Sarah Chen,0.6808829066491903
Build Inte,Ethan Zhang,0.7423153710463923
Choco2022,Linda Wang,0.7202305106510155
Omo Tech,Kevin Wu,0.7422696190252055
Smash Inte,Avery Wong,0.9244862339418405
Internetwind,Daniel Kim,0.9204783184453794
Techorama,Jessica Lee,0.8732424069267538
Redux Tech,Jonathan Chen,0.7570719217728539
Logic Tech,Sophia Zhang,0.6637384880265758
Cohort Inte,Erica Li,0.840168050416806
Ping Inte,Chris Wu,0.6958740458438459
Engine Inte,Olivia Ng,0.7423153710463923
Techx,Lucas Tan,0.7615773105863909
Internetadora,Natalie Chen,0.8017837257372732
Lock Tech,Brian Kim,0.7340252743933794
Internetnest,Lisa Wong,0.7436715700248366
Zone Inte,Patrick Lee,0.7183697139158635
Techtastic,Catherine Kim,0.8539864924534398
Techaro,Andrew Chen,0.7418845396401438
Secure Inte,Lena Park,0.8042789854699964
Techarc,Ryan Lee,0.7396705090823068
Grow Inte,Rebecca Wang,0.7485651970452575
Anime Tech,Justin Wu,0.8555277382080453
Bit Inte,Sophie Ng,0.9308360200392611
Techadora,Lila Harper,0.8388491841016201
Void Tech,Aiden Wong,0.8436958338752908
Internetdo,Eva Flores,0.8498365855987976
Network Tech,Emmett King,0.6928367997228702
Internetado,Hazel Gonzalez,0.5417363388859614
Internetoont,Milo Baker,0.8535950651895694
Search Inte,Ivy Rodriguez,0.7221853807284742
Post Inte,Leo Evans,0.842367087190798
Lead Inte,Audrey Carter,0.8096761942704906
Rank Inte,Ian Lee,0.7537783614444092
Intellect Inte,Gemma Thomas,0.65987314688094
Enigma Inte,Oscar Green,0.9539590550898287
Chase Inte,Mia Allen,0.9135956653307803
Techooze,Maxwell Clark,0.8018753738744803
Task Inte,Sofia Davis,0.8137596232361549
Chroma Inte,Logan Rodriguez,0.6605782590758164
Thief Tech,Lucy Turner,0.6155808867080176
Simplify Inte,Eliana Scott,0.9472830267366574
Blast Tech,Mason Perez,0.8042789854699964
Condition Inte,Charlotte Wright,0.7042952122737638
Insta Inte,Benjamin Parker,0.8090398349558905
Gbooo Org,Leah Campbell,0.7469136869732712
Programmatic Inte,Ethan Mitchell,0.8500050535527963
Stride Inte,Stella Nguyen,0.8444407432001203
Illuminate Inte,Nicholas Hill,0.8252845129791205
Auto Tech,Luna Edwards,0.6176486395892538
Advantage Inte,Samuel Collins,0.6585855599381422
Novus Inte,Bella Martinez,0.9349014023169374
Check Inte,Avery Lee,0.8246437494050604
Modular Inte,Alyssa Nguyen,0.8535950651895693
Pirate Tech,Cameron Baker,0.6943650748294136
Geek Tech,Danielle Lee,0.6793662204867574
Akimbo Tech,Ethan Perez,0.56366953344977
Follow Inte,Grace Kim,0.3881077364118905
Beta Tech,Isaac Rivera,0.9606671410703104
Margin Inte,Kaylee Patel,0.6943650748294136
Automate Inte,Liam Turner,0.9138115486202572
Native Inte,Madison Morris,0.5402954672391691
Techsio,Nathan Cox,0.6788257233228964
Excel Inte,Olivia Phillips,0.7923106466721818
Techlytical,Peter Campbell,0.7042147167923565
